emit 发出(光/热/声音)；排放(气体)
habitual 习惯性的；惯常的
interval 间隔；间距；(时间)间歇
demographic 人口统计的；人口学的
complement 互补；补充；补足物
symptom 症状；(问题)征兆
restless 焦躁不安的；坐立不定的
avail 利用；有助于；效用(常考to no avail=毫无效果)
compromise 妥协；折中；危及
consensus 共识；一致意见
counsel 劝告；建议；法律顾问
ponder 沉思；仔细考虑
auditorium 礼堂；听众席；观众席
fraction 小部分；分数
retrofit 给…加装新设备；翻新(低频)
tray 托盘；浅盘(低频)
premium 保险费；额外费用；高质的；昂贵的
eyebrow 眉毛(低频)
tangible 有形的；实际的；明确的
reconcile 使和解；调和；使一致
acclimation 适应环境；服水土(低频)
mobilize 动员；调动(资源/人力)
petroleum 石油(低频)
protocol 协议；规程；礼仪(低频)
segregate 隔离；分离
throne 宝座；王位(低频)
assurance 保证；信心；把握
roast 烤；烘烤；烤肉(低频)
deceit 欺骗；欺诈(低频)
mutter 嘀咕；低语；抱怨(低频)
hardware 硬件；五金器具
adequate 足够的；充分的
sigh 叹气；叹息；叹息声
headway 进展；前进
startle 使吃惊；吓一跳
linger 逗留；徘徊；持续存在
pave 铺砌；铺路
whereby 凭此；由此
genre 类型；体裁(低频)
deliberate 故意的；深思熟虑的；仔细考虑
chancellor 大臣；校长；总理(低频)
unanimous 一致的；全体同意的
mandate 授权；命令；强制执行
vicinity 附近；邻近地区
confidant 密友；知己(低频)
plaintiff 原告(低频)
ventilate 使通风；公开讨论(意见/问题)(低频)
presence 存在；出席；在场
multiply 乘；增加；繁殖
vocation 职业；使命感(低频)
concert 音乐会；协调(动词义低频)
steer 驾驶(车辆/船)；引导；指导
transmit 传输；传播(信号/疾病/信息)
innovation 创新；革新
prophet 预言家；先知(低频)
guild 行会；协会；同业公会(低频)
immerse 使沉浸；使陷入
desirable 值得拥有的；可取的；有吸引力的
obsession 痴迷；执念；令人着迷的事物
layoff 裁员；解雇(低频)
persecute 迫害；困扰(低频)
revive 复活；复兴；使恢复活力
slip 滑倒；溜走；下滑；纸条；小错
criterion 标准；准则(单数，复数为criteria)
liberal 自由的；开明的；文科的
notwithstanding 尽管；虽然
interfere 干涉；妨碍；干扰
anniversary 周年纪念日(低频)
faint 模糊的；虚弱的；微弱的；昏厥
prey 猎物；捕食
carpenter 木匠(低频)
discourse 论述；谈话；话语(低频)
fellowship 伙伴关系；团体；研究员职位/奖学金(低频)
perish 消亡；死亡；腐烂(低频)
overt 公开的；明显的(低频)
vague 模糊的；不明确的
conversion 转换；改变；皈依
erect 竖立；建造；直立的(低频)
jug 水壶；罐子(低频)
economical 节约的；经济的
swarm 一大群(昆虫/人)；蜂拥
prevail 盛行；占上风；说服
chronic 慢性的；长期的
patrol 巡逻；巡查；巡逻队(低频)
director 导演；主管；董事
confine 限制；禁闭
crane 起重机；伸长(脖子)(低频)
overthrow 推翻；打倒(低频)
proficiency 精通；熟练
spontaneous 自发的；自然的
trim 修剪；削减；整洁的
scenario 情景；方案；剧情梗概
excerpt 摘录；节选(低频)
hostess 女主人；女主持人(低频)
snap 折断；啪地关上；突然说；咔嚓声
endeavor 努力；尝试
credential 证书；凭据；资质(低频)
obsolete 过时的；废弃的
draft 草稿；征兵；气流；起草
lobby 大厅；游说团体；游说
